MaNCC,TenNCC,SDT,Email
NCC001,Công ty May Mặc An Phước,0901234567,anphuoc@email.com
NCC002,Xưởng Dệt Thành Công,0912345678,thanhcong@email.com
NCC003,Vải Sợi ABC,0987654321,abcvaisoi@email.com
NCC004,Hợp tác xã May Bình Minh,0934567890,binhminhhtx@email.com
NCC005,Công ty Len Việt Thắng,0945678901,vietthanglen@email.com
NCC006,Tổng Công ty Dệt May XYZ,0967890123,xyzdetmay@email.com
NCC007,Xưởng may Gia Định,0978901234,giadinhxuong@email.com
NCC008,Công ty Vải Jean Hà Nội,0989012345,hanoijeans@email.com
NCC009,Nhà máy Sợi Đà Nẵng,0909876543,danangsoi@email.com
NCC010,Công ty TNHH Thời Trang Minh Anh,0918765432,thoitrangminhanh@email.com
NCC011,Xí nghiệp May mặc Hoàng Long,0927654321,xnmaymachoanglong@email.com
NCC012,Công ty Cổ phần Dệt Thiên An,0936543210,detthienan@email.com
NCC013,Nhà cung cấp Vải Nam Định,0945432109,vainamdinh@email.com
NCC014,Xưởng gia công Tân Phát,0954321098,giacongtanphat@email.com
NCC015,Công ty Phụ liệu may Sài Gòn,0963210987,phulieusaigon@email.com
NCC016,Nhà máy Dệt kim Hưng Thịnh,0972109876,detkimhungthinh@email.com
NCC017,Công ty Xuất nhập khẩu Bình Dương,0981098765,xnkbinhduong@email.com
NCC018,Xưởng Thêu vi tính Mỹ Nghệ,0990987654,theumynghe@email.com
NCC019,Nhà cung cấp Da thuộc Sài Gòn,0908765432,dathuocsg@email.com
NCC020,Công ty TNHH Lụa Bảo Lộc,0917654321,luabaoloc@email.com
NCC021,Xí nghiệp Len Đà Lạt,0926543210,lendalat@email.com
NCC022,Công ty May mặc An Nhiên,0935432109,maymacannhien@email.com
NCC023,Nhà cung cấp Nút áo Kim Long,0944321098,nutkimlong@email.com
NCC024,Xưởng in vải Hoa Sen,0953210987,invaihoasen@email.com
NCC025,Công ty Dây kéo Sao Vàng,0962109876,daykeosaovang@email.com
NCC026,Nhà máy Chỉ Phong Phú,0971098765,chiphongphu@email.com
NCC027,Công ty Ren xuất khẩu Việt Anh,0980987654,renvietanh@email.com
NCC028,Xưởng Wash công nghiệp JeansPro,0999876543,washjeanspro@email.com
NCC029,Nhà cung cấp Vải Kaki Thăng Long,0907654321,kakithanglong@email.com
NCC030,Công ty Tơ tằm Hà Đông,0916543210,totamhadong@email.com
NCC031,Xí nghiệp May gia công Phát Đạt,0925432109,giacongphatdat@email.com
NCC032,Công ty Vải Nỉ Đông Xuân,0934321098,vainidongxuan@email.com
